,index,name,videoName,frameIndex,id,category,attributes.crowd,attributes.occluded,attributes.truncated,box2d.x1,box2d.x2,box2d.y1,box2d.y2,haveVideo
0,271696,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72150.0,car,False,True,False,453.3317718316594,1021.1199724901156,200.48209669693492,655.927177439012,True
1,271697,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72151.0,car,False,False,True,1180.5257507498425,1279.8006768852365,300.68001446019184,440.34983922109546,True
2,271698,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72152.0,car,False,True,False,1008.9747703369934,1075.7733821791649,337.115620919558,391.7690306086072,True
3,271699,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72153.0,car,False,True,False,102.41096326985898,170.94414787666324,362.4762967094256,418.77141263644336,True
4,271700,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72154.0,car,False,True,False,161.15369293283405,287.61373595729424,343.7112580670863,426.1142538443152,True
5,271701,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72155.0,car,False,True,False,319.4327145247391,430.3912038881364,355.9493267468728,411.4285714285714,True
6,271702,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72156.0,car,False,True,False,282.7185084853797,307.1946458449526,351.0540992749582,402.4539877300614,True
7,271703,0001542f-7c670be8-0000001.jpg,0001542f-7c670be8,0,72157.0,car,False,True,False,1053.90677886886,1204.4357461232682,332.6146054207828,397.9042779648634,True
8,271704,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72150.0,car,False,True,False,449.9721137757948,1016.5655216826948,202.0002469660752,657.4453277081523,True
9,271705,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72151.0,car,False,False,True,1235.1791604388918,1279.8006768852365,302.1981647293321,413.02313437657085,True
10,271706,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72157.0,car,False,True,False,1051.4829778729206,1230.624709631471,326.48856903557623,409.9868338382904,True
11,271707,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72152.0,car,False,True,False,998.3477184530116,1075.7733821791649,337.115620919558,391.7690306086072,True
12,271708,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72153.0,car,False,True,False,102.41096326985898,167.68066289538683,363.2921679547447,419.58728388176246,True
13,271709,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72154.0,car,False,True,False,161.15369293283405,287.61373595729424,343.7112580670863,423.6666401083579,True
14,271710,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72155.0,car,False,True,False,319.4327145247391,432.83881762409374,355.9493267468728,411.4285714285714,True
15,271711,0001542f-7c670be8-0000002.jpg,0001542f-7c670be8,1,72156.0,car,False,True,False,282.7185084853797,303.1152896183571,351.0540992749582,402.4539877300614,True
16,271712,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72150.0,car,False,False,False,401.0198390566489,934.5854071491208,218.699899926618,637.7093742093289,True
17,271713,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72157.0,car,False,True,False,1051.4829778729206,1231.6368098108978,326.48856903557623,409.9868338382904,True
18,271714,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72152.0,car,False,True,False,945.2124590331026,1036.301475181518,337.115620919558,406.95053330000985,True
19,271715,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72153.0,car,False,True,False,92.6205083260298,158.70607919687674,364.9239104453829,413.8761851645288,True
20,271716,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72154.0,car,False,True,False,148.91562425304758,258.2423711258068,343.7112580670863,426.9301250896343,True
21,271717,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72155.0,car,False,True,False,308.0105170902717,420.60074894430727,355.9493267468728,418.77141263644336,True
22,271718,0001542f-7c670be8-0000003.jpg,0001542f-7c670be8,2,72156.0,car,False,True,False,270.4804398055932,292.50896342920885,352.6858417655964,404.0857302206996,True
23,271719,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72150.0,car,False,False,False,371.3516572980856,887.5227488057728,223.25435073403875,627.0823223253471,True
24,271720,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72157.0,car,False,True,False,1051.4829778729206,1232.648909990325,326.48856903557623,409.9868338382904,True
25,271721,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72152.0,car,False,True,False,904.2224017663158,1045.4103767963595,337.115620919558,406.95053330000985,True
26,271722,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72153.0,car,False,True,False,87.72528085411521,152.99498047964306,365.739781690702,417.1396701458052,True
27,271723,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72154.0,car,False,True,False,148.91562425304758,253.34714365389212,343.7112580670863,423.6666401083579,True
28,271724,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72155.0,car,False,True,False,310.458130826229,398.5722253206916,358.3969404828301,417.1396701458052,True
29,271725,0001542f-7c670be8-0000004.jpg,0001542f-7c670be8,3,72156.0,car,False,True,False,268.0328260696359,292.50896342920885,352.6858417655964,404.0857302206996,True
30,271726,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72150.0,car,False,False,False,339.4705016461402,841.9782407315652,238.4358534254413,608.0535415504742,True
31,271727,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72157.0,car,False,True,False,1051.4829778729206,1233.6610101697515,326.48856903557623,409.9868338382904,True
32,271728,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72152.0,car,False,True,False,904.2224017663158,1043.8922265272197,337.115620919558,406.95053330000985,True
33,271729,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72153.0,car,False,True,False,85.27766711815792,148.09975300772848,365.739781690702,417.1396701458052,True
34,271730,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72154.0,car,False,True,False,141.5727830451757,255.79475738984945,343.7112580670863,426.9301250896343,True
35,271731,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72155.0,car,False,True,False,295.77244841048525,361.8580192813322,360.8445542187874,419.58728388176246,True
36,271732,0001542f-7c670be8-0000005.jpg,0001542f-7c670be8,4,72156.0,car,False,True,False,261.5058561070831,278.6391522587842,355.13345550155367,406.5333439566569,True
37,271733,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72150.0,car,False,False,False,298.48044437935323,787.3248310425159,238.4358534254413,598.2374672116822,True
38,271734,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72152.0,car,False,True,False,901.9451763626054,1048.4466773346403,336.73608335227294,406.5709957327248,True
39,271735,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72157.0,car,False,True,False,1051.4829778729206,1234.6731103491782,326.48856903557623,409.9868338382904,True
40,271736,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72153.0,car,False,True,False,73.03959843837146,144.020396781133,364.9239104453829,416.32379890048605,True
41,271737,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72154.0,car,False,True,False,133.4140705919847,263.9534698430404,343.7112580670863,426.1142538443152,True
42,271738,0001542f-7c670be8-0000006.jpg,0001542f-7c670be8,5,72155.0,car,False,True,False,295.77244841048525,325.1438132419728,372.26675165325474,423.6666401083579,True
43,271739,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72150.0,car,False,False,False,254.4540865742858,735.7077218917473,238.4358534254413,573.9470629054381,True
44,271740,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72157.0,car,False,True,False,1051.4829778729206,1235.685210528605,326.48856903557623,409.9868338382904,True
45,271741,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72152.0,car,False,True,False,899.667950958895,1053.001128142061,336.3565457849879,406.1914581654397,True
46,271742,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72158.0,car,False,True,False,729.6351208151862,802.5063337339185,340.1519214578385,388.73273007032674,True
47,271743,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72153.0,car,False,True,False,75.48721217432875,136.67755557326112,365.739781690702,418.77141263644336,True
48,271744,0001542f-7c670be8-0000007.jpg,0001542f-7c670be8,6,72154.0,car,False,True,False,133.4140705919847,251.71540116325397,343.7112580670863,428.5618675802725,True
49,271745,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72150.0,car,False,False,False,207.39142823093783,682.5724624718382,244.5084545020024,564.8381612905965,True
50,271746,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72157.0,car,False,True,False,1051.4829778729206,1236.697310708032,326.48856903557623,409.9868338382904,True
51,271747,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72152.0,car,False,True,False,897.3907255551845,1057.5555789494815,335.9770082177028,405.8119205981546,True
52,271748,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72158.0,car,False,False,False,711.4173175855032,802.5063337339185,340.1519214578385,388.73273007032674,True
53,271749,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72153.0,car,False,True,False,60.80152975858498,135.86168432794202,365.739781690702,416.32379890048605,True
54,271750,0001542f-7c670be8-0000008.jpg,0001542f-7c670be8,7,72154.0,car,False,True,False,129.33471436538923,234.58210501155287,343.7112580670863,426.9301250896343,True
55,271751,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72150.0,car,False,False,False,148.18356773446783,621.846451706228,267.28070853910623,564.8381612905965,True
56,271752,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72157.0,car,False,True,False,1068.1826308334637,1236.697310708032,326.48856903557623,414.54128464571113,True
57,271753,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72152.0,car,False,True,False,895.1135001514741,1062.1100297569023,335.59747065041773,405.4323830308696,True
58,271754,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72158.0,car,False,False,False,699.272115432381,802.5063337339185,340.1519214578385,391.7690306086072,True
59,271755,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72153.0,car,False,True,False,59.98565851326588,126.88710062943191,372.26675165325474,422.0348976177197,True
60,271756,0001542f-7c670be8-0000009.jpg,0001542f-7c670be8,8,72154.0,car,False,True,False,121.17600191219825,189.7091865190025,348.6064855390009,426.9301250896343,True
61,271757,0001542f-7c670be8-0000010.jpg,0001542f-7c670be8,9,72150.0,car,False,False,False,84.42125643057705,558.0841404023372,276.38961015394773,564.8381612905965,True
62,271758,0001542f-7c670be8-0000010.jpg,0001542f-7c670be8,9,72157.0,car,False,True,False,1034.7833249123778,1245.8062123228735,332.56117011213723,417.5775851839916,True
63,271759,0001542f-7c670be8-0000010.jpg,0001542f-7c670be8,9,72152.0,car,False,True,False,895.1135001514741,1030.228874104957,335.59747065041773,405.4323830308696,True
64,271760,0001542f-7c670be8-0000010.jpg,0001542f-7c670be8,9,72158.0,car,False,False,False,696.2358148941006,802.5063337339185,340.1519214578385,399.3597819543086,True
65,271761,0001542f-7c670be8-0000010.jpg,0001542f-7c670be8,9,72153.0,car,False,True,False,55.90630228667039,108.93793323241177,380.4254641064457,424.482511353677,True
66,271762,0001542f-7c670be8-0000011.jpg,0001542f-7c670be8,10,72150.0,car,False,False,False,10.03189324270446,488.24922802188536,283.980361499649,564.8381612905965,True
67,271763,0001542f-7c670be8-0000011.jpg,0001542f-7c670be8,10,72157.0,car,False,True,False,1034.7833249123778,1245.8062123228735,332.56117011213723,422.1320359914124,True
68,271764,0001542f-7c670be8-0000011.jpg,0001542f-7c670be8,10,72152.0,car,False,True,False,895.1135001514741,1030.228874104957,338.6337711886983,409.9868338382904,True
69,271765,0001542f-7c670be8-0000011.jpg,0001542f-7c670be8,10,72158.0,car,False,True,False,696.2358148941006,796.4337326573575,344.7063722652593,409.9868338382904,True
70,271766,0001542f-7c670be8-0000011.jpg,0001542f-7c670be8,10,72159.0,car,False,True,False,483.6947772144646,555.0478398640566,349.26082307268007,423.6501862605527,True
71,271767,0001542f-7c670be8-0000012.jpg,0001542f-7c670be8,11,72150.0,car,False,False,True,0.0,427.5232172562751,293.08926311449056,567.8744618288771,True
72,271768,0001542f-7c670be8-0000012.jpg,0001542f-7c670be8,11,72157.0,car,False,True,False,1034.7833249123778,1254.915113937715,332.56117011213723,425.1683365296929,True
73,271769,0001542f-7c670be8-0000012.jpg,0001542f-7c670be8,11,72152.0,car,False,True,False,898.1498006897547,1037.8196254506584,338.6337711886983,419.0957354531319,True
74,271770,0001542f-7c670be8-0000012.jpg,0001542f-7c670be8,11,72158.0,car,False,True,False,703.8265662398019,794.9155823882172,349.26082307268007,414.54128464571113,True
75,271771,0001542f-7c670be8-0000012.jpg,0001542f-7c670be8,11,72159.0,car,False,True,False,430.5595177945556,567.1930420171788,349.26082307268007,432.7590878753942,True
76,271772,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72150.0,car,False,False,True,0.0,351.61570379926223,299.1618641910516,567.8744618288771,True
77,271773,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72157.0,car,False,True,False,1063.6281800260426,1276.1692177056786,332.56117011213723,428.2046370679734,True
78,271774,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72152.0,car,False,True,False,911.8131531120172,1063.6281800260426,343.18822199611907,417.5775851839916,True
79,271775,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72158.0,car,False,True,False,717.4899186620642,819.2059866944613,350.7789733418203,416.05943491485135,True
80,271776,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72159.0,car,False,True,False,430.5595177945556,579.3382441703008,350.77897334182035,432.7590878753942,True
81,271777,0001542f-7c670be8-0000013.jpg,0001542f-7c670be8,12,72155.0,car,False,True,False,346.3564656202693,393.676997848777,377.16197912516935,440.799936260059,True
82,271778,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72150.0,car,False,False,True,0.0,275.7081903422494,299.1618641910516,567.8744618288771,True
83,271779,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72157.0,car,False,True,True,1100.0637864854089,1274.6510674365384,332.56117011213723,428.2046370679734,True
84,271780,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72152.0,car,False,True,False,930.0309563417,1087.9185843322869,343.18822199611907,419.0957354531319,True
85,271781,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72158.0,car,False,True,False,731.1532710843264,835.9056396550042,350.7789733418203,409.9868338382904,True
86,271782,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72159.0,car,False,True,False,436.63211887111663,583.8926949777216,350.77897334182035,431.240937606254,True
87,271783,0001542f-7c670be8-0000014.jpg,0001542f-7c670be8,13,72155.0,car,False,True,False,282.7185084853797,413.25790773643536,363.2921679547447,443.2475499960163,True
88,271784,0001542f-7c670be8-0000015.jpg,0001542f-7c670be8,14,72150.0,car,False,False,True,0.0,201.31882715437683,297.64371392191134,523.8481040238096,True
